population,return.year,n.returned,n.harvested,n.removed, n.above.weir
Minam,1997,208,0,0,208
Minam,1998,233,0,0,233
Minam,1999,166,0,0,166
Minam,2000,512,0,0,512
Minam,2001,676,0,0,676
Minam,2002,737,0,0,737
Minam,2003,621,0,0,621
Minam,2004,548,0,0,548
Minam,2005,387,0,0,387
Minam,2006,498,0,0,498
Minam,2007,348,0,0,348
Minam,2008,614,0,0,614
Minam,2009,850,0,0,850
Minam,2010,1045,0,0,1045
Minam,2011,936,0,0,936
Minam,2012,710,0,0,710
Minam,2013,510,0,0,510
Minam,2014,1255,0,0,1255
Minam,2015,724,0,0,724
Minam,2016,682,0,0,682
Minam,2017,231,0,0,231
Minam,2018,345,0,0,345
Catherine,1997,82,0,0,80
Catherine,1998,101,0,0,101
Catherine,1999,88,0,0,84
Catherine,2000,62,0,2,46
Catherine,2001,613,0,56,549
Catherine,2002,500,0,40,451
Catherine,2003,593,0,106,481
Catherine,2004,711,0,493,213
Catherine,2005,231,0,77,151
Catherine,2006,354,0,69,278
Catherine,2007,284,0,110,168
Catherine,2008,368,0,148,214
Catherine,2009,763,0,470,282
Catherine,2010,1532,0,533,968
Catherine,2011,1983,0,258,1725
Catherine,2012,1078,40,322,711
Catherine,2013,810,0,297,515
Catherine,2014,1274,0,174,1046
Catherine,2015,774,0,251,506
Catherine,2016,543,0,120,409
Catherine,2017,241,0,100,138
Catherine,2018,248,0,107,143
UGR,1997,67,0,0,54
UGR,1998,92,0,4,84
UGR,1999,4,0,0,4
UGR,2000,53,0,2,23
UGR,2001,77,0,21,30
UGR,2002,109,0,51,54
UGR,2003,291,0,106,98
UGR,2004,683,0,49,462
UGR,2005,424,0,72,205
UGR,2006,215,0,152,54
UGR,2007,115,0,78,19
UGR,2008,552,0,144,390
UGR,2009,1004,0,448,299
UGR,2010,2566,49,179,2275
UGR,2011,1723,0,164,1546
UGR,2012,896,0,178,707
UGR,2013,1208,0,124,1084
UGR,2014,2090,12,160,1893
UGR,2015,2043,15,187,1841
UGR,2016,393,2,152,239
UGR,2017,284,0,129,155
UGR,2018,381,0,170,211
Lostine,1997,159,0,9,145
Lostine,1998,158,0,0,126
Lostine,1999,84,0,2,64
Lostine,2000,325,0,33,233
Lostine,2001,720,51,89,439
Lostine,2002,920,0,87,734
Lostine,2003,785,0,94,517
Lostine,2004,1489,0,554,732
Lostine,2005,982,45,318,523
Lostine,2006,730,10,139,516
Lostine,2007,617,0,234,354
Lostine,2008,2083,55,299,1537
Lostine,2009,3656,323,1675,1153
Lostine,2010,5319,413,427,4727
Lostine,2011,5926,378,302,5147
Lostine,2012,1942,77,171,1003
Lostine,2013,1716,1,594,765
Lostine,2014,3585,314,717,1876
Lostine,2015,1932,766,432,618
Lostine,2016,1762,155,305,1079
Lostine,2017,880,68,434,359
Lostine,2018,1153,106,355,666
