"population","river","year","surveydate","pos.weir","pos.trap","siteid","sex","origin","forklength","agedesignation","age.best","age.cwt","age.scale","age.key","age.length","prespawn","oppunch.present","oppunch.type","objective","mark.recap.eligible"
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH1","F","Nat",650,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH1","F","Hat",780,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH4","M","Hat",850,"Adult",5,NA,5,NA,5,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH4","M","Hat",820,"Adult",5,NA,5,NA,5,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","F","Hat",710,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-17,"no.weir","above","CATH5","F","Hat",755,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-17,"no.weir","above","CATH5","F","Hat",740,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","Unk","Hat",NA,NA,NA,NA,NA,NA,NA,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","Unk","Nat",NA,NA,NA,NA,NA,NA,NA,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","F","Nat",780,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-17,"no.weir","above","CATH5","M","Hat",800,"Adult",4,NA,4,NA,5,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","F","Hat",690,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","M","Hat",450,"Jack",3,NA,3,NA,3,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH5","F","Hat",660,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH5","F","Hat",685,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-10,"no.weir","above","CATH5","F","Hat",680,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH5","M","Hat",770,"Adult",4,NA,4,NA,4,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1991,1991-09-03,"no.weir","above","CATH7","F","Nat",600,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-03,"no.weir","above","CATH1","M","Nat",660,"Adult",4,NA,4,NA,4,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-03,"no.weir","above","CATH1","M","Hat",680,"Adult",4,NA,4,NA,4,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-03,"no.weir","above","CATH4","F","Hat",710,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-03,"no.weir","above","CATH4","M","Hat",740,"Adult",4,NA,4,NA,4,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-18,"no.weir","above","CATH5","F","Hat",780,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-03,"no.weir","above","CATH5","M","Nat",700,"Adult",4,NA,4,NA,4,NA,"Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-10,"no.weir","above","CATH5","F","Nat",780,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
"Catherine","Catherine Creek",1992,1992-09-18,"no.weir","above","CATH5","F","Hat",710,"Adult",4,NA,4,NA,4,"Spawned","Unk","","Redd & Carcass",TRUE
