population,year,trapdate,count,sex,origin,forklength,agedesignation,age.best,age.cwt,age.pit,age.scale,age.length,recapture,oppunch,notes
Catherine,1998,1998-06-13,1,F,Nat,838,Adult,5,NA,NA,NA,5,FALSE,3ROP,
Catherine,1998,1998-06-13,1,F,Nat,844,Adult,5,NA,NA,NA,5,FALSE,3ROP,
Catherine,1998,1998-06-13,1,M,Nat,698,Adult,4,NA,NA,NA,4,FALSE,3ROP,
Catherine,1998,1998-06-13,1,M,Nat,890,Adult,5,NA,NA,NA,5,FALSE,3ROP,
Catherine,1998,1998-06-18,1,M,Nat,778,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1998,1998-06-19,1,F,Nat,870,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-06-20,1,F,Nat,800,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-06-22,1,M,Nat,761,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1998,1998-06-23,1,F,Nat,810,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-06-23,1,F,Nat,819,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-06-26,1,M,Nat,800,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-06-29,1,M,Nat,880,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-07-02,1,F,Nat,830,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-07-02,1,M,Nat,920,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-07-03,1,F,Nat,855,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-07-06,1,M,Nat,861,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-07-07,1,F,Nat,865,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1998,1998-07-07,1,M,Nat,720,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1998,1998-09-04,1,M,Nat,865,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,1999,1999-05-13,1,Unk,Nat,745,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-06-15,1,Unk,Nat,805,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-02,1,Unk,Nat,736,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-02,1,Unk,Nat,708,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-07,1,Unk,Nat,758,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-08,1,Unk,Nat,665,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-11,1,Unk,Nat,777,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-13,1,Unk,Nat,768,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-14,1,Unk,Nat,704,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-15,1,Unk,Nat,716,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-17,1,Unk,Nat,610,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-17,1,Unk,Nat,730,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-21,1,Unk,Nat,757,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-07-28,1,Unk,Nat,720,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-08-03,1,Unk,Nat,738,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,1999,1999-08-25,1,F,Nat,768,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-05-22,1,Unk,Nat,715,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-05-26,1,Unk,Nat,735,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-05-26,1,Unk,Nat,737,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-06-02,1,Unk,Nat,723,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-06-03,1,M,Nat,724,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-06-03,1,M,Nat,750,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-06-06,1,M,Nat,735,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-06-07,1,F,Nat,705,Adult,4,NA,NA,NA,4,FALSE,2ROP,
Catherine,2000,2000-06-15,1,F,Nat,800,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,2000,2000-06-26,1,M,Nat,840,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,2000,2000-06-26,1,F,Nat,747,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-06-26,1,M,Nat,535,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2000,2000-06-30,1,M,Nat,485,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2000,2000-07-14,1,M,Nat,665,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-07-15,1,Unk,Nat,785,Unk,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2000,2000-07-21,1,M,Nat,715,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-21,1,F,Nat,682,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-21,1,M,Nat,882,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,2001,2001-05-23,1,M,Nat,717,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-23,1,M,Nat,706,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2001,2001-05-23,1,M,Nat,706,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2001,2001-05-23,1,F,Nat,838,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,2001,2001-05-24,1,F,Nat,660,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-25,1,M,Nat,704,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-26,1,F,Nat,647,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-28,1,M,Nat,750,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-31,1,M,Nat,723,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-05-31,1,F,Nat,686,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-01,1,F,Nat,743,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-01,1,F,Nat,743,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-02,1,M,Nat,754,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-02,1,M,Nat,621,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-02,1,F,Nat,724,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-02,1,F,Nat,703,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-02,1,F,Nat,703,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-02,1,F,Nat,732,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-03,1,M,Nat,762,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-05,1,M,Nat,645,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-05,1,M,Nat,610,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-07,1,F,Nat,734,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-07,1,M,Nat,782,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-07,1,M,Nat,735,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-07,1,M,Nat,730,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-08,1,F,Nat,710,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-08,1,F,Nat,678,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-08,1,F,Nat,675,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-08,1,F,Nat,635,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-09,1,M,Nat,603,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,M,Nat,589,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2001,2001-06-10,1,F,Nat,703,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,F,Nat,657,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,M,Nat,765,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,F,Nat,666,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,M,Nat,765,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,M,Nat,725,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-10,1,F,Nat,745,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-14,1,M,Nat,428,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2001,2001-06-14,1,F,Nat,760,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-14,1,M,Nat,702,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-14,1,M,Nat,738,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-14,1,M,Nat,709,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-14,1,F,Nat,695,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-14,1,M,Nat,660,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-17,1,M,Nat,448,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2001,2001-06-17,1,M,Nat,732,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-17,1,M,Nat,753,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-17,1,F,Nat,709,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-17,1,M,Nat,691,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-21,1,M,Nat,419,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2001,2001-06-21,1,M,Nat,499,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2001,2001-06-21,1,F,Nat,695,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-22,1,M,Nat,722,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-23,1,M,Nat,775,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-23,1,F,Nat,728,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-06-30,1,F,Nat,856,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,2001,2001-06-30,1,M,Nat,756,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-07-02,1,M,Nat,527,Adult,3,NA,NA,NA,3,FALSE,1ROP,
Catherine,2001,2001-07-03,1,F,Nat,659,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-07-05,1,M,Nat,673,Adult,4,NA,NA,NA,4,FALSE,2ROP,
Catherine,2001,2001-07-05,1,F,Nat,743,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-07-07,1,F,Nat,751,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-07-07,1,M,Nat,930,Adult,5,NA,NA,NA,5,FALSE,1ROP,
Catherine,2001,2001-07-07,1,F,Nat,621,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2001,2001-09-02,1,F,Nat,732,Adult,4,NA,NA,NA,4,FALSE,1ROP,
Catherine,2002,2002-05-20,1,F,Hat,740,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-25,1,F,Nat,667,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-05-25,1,F,Nat,801,Adult,5,NA,NA,NA,5,FALSE,1ROP/CAU,
Catherine,2002,2002-05-26,1,M,Nat,703,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
