population,brood.year,mig.year,season,abund.est,abund.se,comments,
Catherine,1993,1995,fall,8966,682.1,,
Catherine,1993,1995,spring,8667,804.6,,
Catherine,1994,1996,fall,4985,224.5,,
Catherine,1994,1996,spring,1872,269.9,,
Catherine,1995,1997,fall,4029,570.4,,
Catherine,1995,1997,spring,413,52.6,,
Catherine,1996,1998,fall,7058,581.6,,
Catherine,1996,1998,spring,2823,205.6,,
Catherine,1997,1999,fall,12607,1025.5,,
Catherine,1997,1999,spring,7704,568.9,,
Catherine,1998,2000,fall,19769,1100,,
Catherine,1998,2000,spring,4222,466.3,,
Catherine,1999,2001,fall,18996,1129.1,,
Catherine,1999,2001,spring,2940,284.7,,
Catherine,2000,2002,fall,21183,1452,,
Catherine,2000,2002,spring,2179,190.3,,
Catherine,2001,2003,fall,29763,1224,,
Catherine,2001,2003,spring,4860,530.1,,
Catherine,2002,2004,fall,53712,1936.7,,
Catherine,2002,2004,spring,10300,920.4,,
Catherine,2003,2005,fall,50630,3316.3,,
Catherine,2003,2005,spring,5467,857.1,,
Catherine,2004,2006,fall,22823,1110.2,,
Catherine,2004,2006,spring,4395,476.5,,
Catherine,2005,2007,fall,10936,402,,
Catherine,2005,2007,spring,2895,340.3,,
Catherine,2006,2008,fall,20502,867.3,,
Catherine,2006,2008,spring,5649,628.1,,
Catherine,2007,2009,fall,16168,1389.3,,
Catherine,2007,2009,spring,5056,677.6,,
Catherine,2008,2010,fall,32358,3243.4,,
Catherine,2008,2010,spring,11277,1672.4,,
Catherine,2009,2011,fall,8079,169.4,,
Catherine,2009,2011,spring,4515,539.3,,
Catherine,2010,2012,fall,36404,503.1,,
Catherine,2010,2012,spring,22041,1656.6,,
Catherine,2011,2013,fall,26393,1285.2,,
Catherine,2011,2013,spring,5782,378.1,,
Catherine,2012,2014,fall,18012,667.3,,
Catherine,2012,2014,spring,12779,1087.8,,
Catherine,2013,2015,fall,10261,148,,
Catherine,2013,2015,spring,2064,432.7,,
Catherine,2014,2016,fall,22743,1433.2,,
Catherine,2014,2016,spring,4075,338.8,,
Catherine,2015,2017,fall,17249,1158.2,,
Catherine,2015,2017,spring,5648,337.8,,
Catherine,2016,2018,fall,17483,625,,
Catherine,2016,2018,spring,7752,460.7,,
Catherine,2017,2019,fall,9114,624.5,,
Catherine,2017,2019,spring,3812,455.6,,
Lostine,1995,1997,fall,2175,121.9,,
Lostine,1995,1997,spring,2321,284.2,,
Lostine,1996,1998,fall,11381,1210.7,,
Lostine,1996,1998,spring,6158,555.6,,
Lostine,1997,1999,fall,20133,1003.1,,
Lostine,1997,1999,spring,14134,892.3,,
Lostine,1998,2000,fall,8370,426,,
Lostine,1998,2000,spring,3880,152.6,,
Lostine,1999,2001,fall,10478,635.7,,
Lostine,1999,2001,spring,3132,280.1,,
Lostine,2000,2002,fall,15358,1209.7,,
Lostine,2000,2002,spring,2782,266.3,,
Lostine,2001,2003,fall,19048,744.4,,
Lostine,2001,2003,spring,9891,592.3,,
Lostine,2002,2004,fall,NA,NA,No juvenile migrant data,
Lostine,2002,2004,spring,NA,NA,No juvenile migrant data,
Lostine,2003,2005,fall,41163,3155.6,,
Lostine,2003,2005,spring,13439,1358.2,,
Lostine,2004,2006,fall,42563,4441.3,,
Lostine,2004,2006,spring,11705,700,,
Lostine,2005,2007,fall,34250,2408.2,,
Lostine,2005,2007,spring,11933,516.8,,
Lostine,2006,2008,fall,15354,1327,,
Lostine,2006,2008,spring,10763,1207.1,,
Lostine,2007,2009,fall,30896,3704.6,,
Lostine,2007,2009,spring,8039,591.8,,
Lostine,2008,2010,fall,28529,1386.2,,
Lostine,2008,2010,spring,19157,788.3,,
Lostine,2009,2011,fall,51699,5521.4,,
Lostine,2009,2011,spring,13057,537.2,,
Lostine,2010,2012,fall,103001,4446.4,,
Lostine,2010,2012,spring,34829,3069.4,,
Lostine,2011,2013,fall,60619,4537.8,,
Lostine,2011,2013,spring,17818,1636.7,,
Lostine,2012,2014,fall,50518,2768.4,,
Lostine,2012,2014,spring,17528,1305.1,,
Lostine,2013,2015,fall,17314,792.3,,
Lostine,2013,2015,spring,6819,317.9,,
Lostine,2014,2016,fall,48509,4166.3,,
Lostine,2014,2016,spring,8766,433.2,,
Lostine,2015,2017,fall,27427,1685.2,,
Lostine,2015,2017,spring,10726,1145.4,,
Lostine,2016,2018,fall,45502,3365.3,,
Lostine,2016,2018,spring,5442,337.8,,
Lostine,2017,2019,fall,7531,469.0,,
Lostine,2017,2019,spring,4163,402.0,,
Minam,1999,2001,fall,10224,1438.8,,
Minam,1999,2001,spring,17985,1882.1,,
Minam,2000,2002,fall,62708,5146.9,,
Minam,2000,2002,spring,16292,2018.9,,
Minam,2001,2003,fall,19674,1907.1,,
Minam,2001,2003,spring,43473,5092.9,,
Minam,2002,2004,fall,42978,2924.5,,
Minam,2002,2004,spring,22207,3572.4,,
Minam,2003,2005,fall,47924,1419.4,,
Minam,2003,2005,spring,63466,13473,,
Minam,2004,2006,fall,29492,3201.5,,
Minam,2004,2006,spring,21467,2741.8,,
Minam,2005,2007,fall,25875,2814.8,,
Minam,2005,2007,spring,11844,857.1,,
Minam,2006,2008,fall,33592,2723,,
Minam,2006,2008,spring,43709,5481.6,,
Minam,2007,2009,fall,27167,3423.5,,
Minam,2007,2009,spring,16476,3011.2,,
Minam,2008,2010,fall,75070,6882.7,,
Minam,2008,2010,spring,90948,16868.9,,
Minam,2009,2011,fall,41128,3321.9,,
Minam,2009,2011,spring,32517,4474,,
Minam,2010,2012,fall,77172,3398,,
Minam,2010,2012,spring,18112,1760.7,,
Minam,2011,2013,fall,43900,2508.7,,
Minam,2011,2013,spring,17206,1768.4,,
Minam,2012,2014,fall,51948,3362.2,,
Minam,2012,2014,spring,18126,1257.7,,
Minam,2013,2015,fall,9679,299.5,,
Minam,2013,2015,spring,9945,363.8,,
Minam,2014,2016,fall,45379,3055.1,,
Minam,2014,2016,spring,21467,1827.6,,
Minam,2015,2017,fall,62430,8958.2,,
Minam,2015,2017,spring,13619,2383.7,,
Minam,2016,2018,fall,36560,2284.7,,
Minam,2016,2018,spring,16404,1728.1,,
Minam,2017,2019,fall,9047,461.7,,
Minam,2017,2019,spring,17410,1983.3,,
UGR,1992,1994,fall,2616,95.9,,
UGR,1992,1994,spring,22175,1629.1,,
UGR,1993,1995,fall,4859,924,,
UGR,1993,1995,spring,33866,6408.2,,
UGR,1994,1996,fall,13,7.7,,
UGR,1994,1996,spring,1105,98,,
UGR,1995,1997,fall,68,14.3,,
UGR,1995,1997,spring,14,15.3,,
UGR,1996,1998,fall,2408,161.2,,
UGR,1996,1998,spring,4514,317.3,,
UGR,1997,1999,fall,2440,95.4,,
UGR,1997,1999,spring,12418,1592.9,,
UGR,1998,2000,fall,3839,196.9,,
UGR,1998,2000,spring,10941,1056.1,,
UGR,1999,2001,fall,6,4.6,,
UGR,1999,2001,spring,45,15.8,,
UGR,2000,2002,fall,1625,91.8,,
UGR,2000,2002,spring,7508,788.3,,
UGR,2001,2003,fall,1350,53.6,,
UGR,2001,2003,spring,3572,239.8,,
UGR,2002,2004,fall,467,41.3,,
UGR,2002,2004,spring,4387,327.6,,
UGR,2003,2005,fall,1094,62.8,,
UGR,2003,2005,spring,5163,425.5,,
UGR,2004,2006,fall,7846,636.7,,
UGR,2004,2006,spring,26826,2713.8,,
UGR,2005,2007,fall,5356,156.1,,
UGR,2005,2007,spring,11753,871.4,,
UGR,2006,2008,fall,4576,878.1,,
UGR,2006,2008,spring,7108,1688.8,,
UGR,2007,2009,fall,8,4.6,,
UGR,2007,2009,spring,26,6.6,,
UGR,2008,2010,fall,4584,291.3,,
UGR,2008,2010,spring,16179,988.8,,
UGR,2009,2011,fall,11072,363.8,,
UGR,2009,2011,spring,14061,1122.4,,
UGR,2010,2012,fall,17824,229.1,,
UGR,2010,2012,spring,37990,2207.1,,
UGR,2011,2013,fall,8958,408.7,,
UGR,2011,2013,spring,12651,479.1,,
UGR,2012,2014,fall,16362,620.9,,
UGR,2012,2014,spring,16480,2296.9,,
UGR,2013,2015,fall,2152,33.7,,
UGR,2013,2015,spring,11783,275.5,,
UGR,2014,2016,fall,6423,179.6,,
UGR,2014,2016,spring,15930,1139.8,,
UGR,2015,2017,fall,8559,145.9,,
UGR,2015,2017,spring,22540,1545.4,,
UGR,2016,2018,fall,10078,185.7,,
UGR,2016,2018,spring,11548,715.3,,
UGR,2017,2019,fall,4259,112.8,,
UGR,2017,2019,spring,8772,667.8,,
