season,population,mig.year,n.length,len.mean,len.sd,len.se,len.min,len.max,summer.median.date,len.notes,
summer,Catherine,1994,999,80.4,7.04,0.22,53,106,1993-09-21,PIT tagged fish only,
summer,Catherine,1995,1000,72.7,7.44,0.24,59,100,1994-09-13,PIT tagged fish only,
fall,Catherine,1995,799,78.1,7.91,0.28,60,106,,,
winter,Catherine,1995,540,82.2,8.60,0.37,61,105,,,
spring,Catherine,1995,786,88.5,8.13,0.29,57,118,,,
summer,Catherine,1996,496,82.3,6.48,0.29,66,104,1995-08-30,PIT tagged fish only,
fall,Catherine,1996,876,89.0,6.81,0.23,66,116,,,
winter,Catherine,1996,294,92.1,6.86,0.40,72,114,,,
spring,Catherine,1996,346,96.0,6.70,0.36,77,125,,,
summer,Catherine,1997,584,84.5,7.26,0.30,60,109,1996-08-28,PIT tagged fish only,
fall,Catherine,1997,558,90.9,6.61,0.28,70,113,,,
winter,Catherine,1997,102,92.8,8.08,0.80,70,115,,,
spring,Catherine,1997,98,94.1,6.63,0.67,75,109,,,
summer,Catherine,1998,500,75.6,7.21,0.32,58,96,1997-08-20,PIT tagged fish only,
fall,Catherine,1998,978,87.9,6.88,0.22,52,109,,,
winter,Catherine,1998,579,89.7,6.74,0.28,69,108,,,
spring,Catherine,1998,539,93.2,7.43,0.32,67,120,,,
summer,Catherine,1999,500,72.9,7.17,0.32,52,95,1998-08-05,PIT tagged fish only,
fall,Catherine,1999,1208,83.3,7.99,0.23,59,110,,,
winter,Catherine,1999,495,86.9,6.90,0.31,65,104,,,
spring,Catherine,1999,678,92.6,6.77,0.26,63,118,,,
summer,Catherine,2000,498,72.6,7.90,0.35,51,95,1999-08-03,PIT tagged fish only,
fall,Catherine,2000,1475,84.1,9.22,0.24,42,112,,,
winter,Catherine,2000,500,85.8,6.71,0.30,68,104,,,
spring,Catherine,2000,633,90.6,8.05,0.32,68,126,,,
summer,Catherine,2001,496,72.5,6.61,0.30,52,94,2000-08-08,PIT tagged fish only,
fall,Catherine,2001,1159,81.0,8.51,0.25,49,105,,,
winter,Catherine,2001,521,83.2,6.85,0.30,65,100,,,
spring,Catherine,2001,383,87.8,7.63,0.39,60,123,,,
summer,Catherine,2002,501,68.5,5.37,0.24,58,89,2001-07-31,PIT tagged fish only,
fall,Catherine,2002,845,80.9,7.85,0.27,58,124,,,
winter,Catherine,2002,431,80.5,6.44,0.31,65,99,,,
spring,Catherine,2002,261,90.2,8.56,0.53,69,139,,,
summer,Catherine,2003,505,67.6,7.68,0.34,53,114,2002-07-31,PIT tagged fish only,
fall,Catherine,2003,1399,80.4,7.48,0.20,61,113,,,
winter,Catherine,2003,522,81.5,6.63,0.29,65,102,,,
spring,Catherine,2003,1034,87.0,9.00,0.28,64,118,,,
summer,Catherine,2004,1332,62.8,8.34,0.23,43,99,2003-07-29,,
fall,Catherine,2004,1267,72.8,8.19,0.23,50,119,,,
winter,Catherine,2004,499,77.1,7.37,0.33,59,101,,,
spring,Catherine,2004,965,84.7,8.08,0.26,62,119,,,
summer,Catherine,2005,2282,68.5,8.16,0.17,45,99,2004-08-04,,
fall,Catherine,2005,1213,75.7,9.06,0.26,53,99,,,
winter,Catherine,2005,526,79.8,7.11,0.31,61,98,,,
spring,Catherine,2005,533,86.5,8.31,0.36,61,117,,,
summer,Catherine,2006,524,67.1,6.77,0.30,54,93,2005-07-28,,
fall,Catherine,2006,688,79.8,8.66,0.33,56,117,,,
winter,Catherine,2006,500,83.1,7.38,0.33,59,114,,,
spring,Catherine,2006,361,88.6,8.17,0.43,67,127,,,
summer,Catherine,2007,1265,63.5,6.74,0.19,45,83,2006-07-26,,
fall,Catherine,2007,551,83.9,8.45,0.36,61,129,,,
winter,Catherine,2007,500,80.7,7.16,0.32,55,100,,,
spring,Catherine,2007,433,83.7,19.56,0.94,33,141,,,
summer,Catherine,2008,1077,65.7,7.94,0.24,41,89,2007-07-31,,
fall,Catherine,2008,582,78.8,9.41,0.39,57,103,,,
winter,Catherine,2008,503,79.5,7.85,0.35,55,101,,,
spring,Catherine,2008,661,86.0,7.46,0.29,54,114,,,
summer,Catherine,2009,998,65.1,5.92,0.19,51,104,2008-07-29,,
