season,population,mig.year,n.tagged,surv.est,surv.ci.low,surv.ci.high,surv.se,surv.notes,
summer,Catherine,1993,1094,0.178,0.151,0.212,,,
summer,Catherine,1994,1000,0.226,0.186,0.279,,,
summer,Catherine,1995,999,0.154,0.129,0.184,,,
summer,Catherine,1996,499,0.277,0.205,0.406,,,
summer,Catherine,1997,583,0.176,0.139,0.225,,,
summer,Catherine,1998,499,0.211,0.164,0.276,,,
summer,Catherine,1999,502,0.157,0.122,0.212,,,
summer,Catherine,2000,497,0.151,0.109,0.217,,,
summer,Catherine,2001,498,0.087,0.063,0.115,,,
summer,Catherine,2002,502,0.109,0.079,0.157,,,
summer,Catherine,2003,501,0.075,0.052,0.106,,,
summer,Catherine,2004,467,0.072,0.051,0.098,,,
summer,Catherine,2005,495,0.057,0.038,0.082,,,
summer,Catherine,2006,523,0.057,0.033,0.128,,,
summer,Catherine,2007,501,0.042,,,0.009,,
summer,Catherine,2008,1000,0.080,0.053,0.136,,,
summer,Catherine,2009,997,0.147,0.116,0.178,,,
summer,Catherine,2010,995,0.107,0.074,0.168,,,
summer,Catherine,2011,992,0.128,0.104,0.158,,,
summer,Catherine,2012,998,0.116,0.09,0.154,,,
summer,Catherine,2013,975,0.031,0.021,0.047,,,
summer,Catherine,2014,998,0.092,0.071,0.121,,,
summer,Catherine,2015,999,0.056,0.024,0.23,,,
summer,Catherine,2016,997,0.032,0.02,0.053,,,
summer,Catherine,2017,995,0.091,0.058,0.17,,,
summer,Catherine,2018,896,0.087,0.065,0.119,,,
summer,Catherine,2019,980,0.099,0.051,0.275,,,
summer,Catherine-lower,2014,1000,0.019,0.01,0.036,,,
summer,Catherine-lower,2015,999,0.061,0.02,0.8,,,
summer,Catherine-lower,2016,998,NA,,,,N=0 detected at LGR; 1 detection at downstream dams. Data were insufficient to calculate a survival probability,
summer,Catherine-lower,2017,997,0.094,0.065,0.153,,,
summer,Catherine-lower,2018,985,0.089,0.06,0.148,,,
summer,Catherine-lower,2019,190,0.011,0,0.042,,,
summer,Lostine,1993,997,0.25,0.214,0.296,,,
summer,Lostine,1994,725,0.237,0.188,0.309,,,
summer,Lostine,1995,1002,0.215,0.183,0.255,,,
summer,Lostine,1996,977,0.237,0.191,0.306,,,
summer,Lostine,1997,527,0.213,0.16,0.31,,,
summer,Lostine,1998,0,NA,,,,,
