"LCM_pop","River","Year","SurveyDate","SiteID","Section","AboveOrBelowWeir","AboveOrBelowRST","Survey Type","Objective","Count","Sex","Origin","ForkLength","BestAge","CWTAge","BestScaleAge","LengthAge","AgeKey","PreSpawn","PercentSpawned","MarkRecapSizeCategory","OPPunch","OperclePunchType","Comments"
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",726,5,,5,4,,"Spawned",100.00,"Adult","No",,"Jaw tag, survey section middle NF to mouth assuming same as NF CG to mouth; N.M.F.S. JAW TAG #C2238, N.M.F. RT 3 Box 53, Pomeroy, WA 99347"
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",707,4,,4,4,,"Spawned",100.00,"Adult","No",,"middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",707,4,,4,4,,"Spawned",99.00,"Adult","No",,"middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",805,4,,4,5,,"Spawned",100.00,"Adult","No",,"middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",842,4,,4,5,,"NotValid",,"Adult","No",,"middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",774,4,,4,4,,"NotValid",,"Adult","No",,"middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",812,4,,4,5,,"Spawned",100.00,"Adult","No",,"FinMark changed from AD because no CWT found"
"Catherine","Catherine Creek",1997.00,1997-8-26 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",935,5,,5,5,,"Spawned",100.00,"Adult","No",,"middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-8-26 00:00:00,"CATH1","North Fork: Bridge at N.F. Campground to Forks","Above Weir",,"Index","Redd & Carcass",1,"M","Nat",970,5,,,5,,"NotValid",,"Adult","No",,"approximate length; scavenged; middle NF to mouth assuming same as NF CG to mouth"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH3","S.F. 2.0 miles above the mouth to forks","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",730,4,,4,4,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",720,4,,4,4,,"Spawned",90.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",780,4,,4,4,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",880,4,,4,5,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-8-26 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Index","Redd & Carcass",1,"M","Nat",890,4,,4,5,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",630,3,,3,4,,"Spawned",100.00,"Jack","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",620,4,,4,4,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",630,4,,4,4,,"Spawned",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH4","Forks to 7735 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",720,4,,4,4,,"Spawned",,"Adult","No",,"TOO CREAMY TO CONFIRM SEX"
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",660,4,,4,4,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-8-26 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",695,4,,4,4,,"Spawned",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-8-26 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Index","Redd & Carcass",1,"F","Nat",700,4,,4,4,,"PreSpawn",0.00,"Adult","No",,"pre-spawn mort"
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",770,4,,4,4,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",590,4,,4,3,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",720,4,,4,4,,"NotValid",,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-10 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"F","Nat",632,4,,4,4,,"Spawned",100.00,"Adult","No",,
"Catherine","Catherine Creek",1997.00,1997-9-3 00:00:00,"CATH5","7735 Bridge to Hwy 203 Bridge","Above Weir",,"Supplemental","Redd & Carcass",1,"M","Nat",710,4,,4,4,,"NotValid",,"Adult","No",,
