"WeirLocation","TrapYear","TrapDate","Count","Sex","Origin","ForkLength","BestAge","CWTAge","PITAge","ScaleAge_Best","LengthAge","Age_Key","Recapture","Disposition","Description","New_or_recap","OpPunch"
"Catherine Creek",2000,2000-6-7 00:00:00,1,"F","Nat",705,4,,,,4,,0,"P","Passed above weir","New","2ROP"
"Catherine Creek",2000,2000-6-15 00:00:00,1,"F","Nat",800,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-26 00:00:00,1,"M","Nat",840,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-26 00:00:00,1,"F","Nat",747,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-26 00:00:00,1,"M","Nat",535,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-6-30 00:00:00,1,"M","Nat",485,3,,,,3,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-7-14 00:00:00,1,"M","Nat",665,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-7-15 00:00:00,1,"Unk","Nat",785,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2000,2000-7-21 00:00:00,1,"M","Nat",715,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-21 00:00:00,1,"F","Nat",682,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-21 00:00:00,1,"M","Nat",882,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-23 00:00:00,1,"M","Nat",717,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-23 00:00:00,1,"M","Nat",706,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2001,2001-5-23 00:00:00,1,"M","Nat",706,4,,,,4,,0,"P","Passed above weir","New","1ROP/CAU"
"Catherine Creek",2001,2001-5-23 00:00:00,1,"F","Nat",838,5,,,,5,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-24 00:00:00,1,"F","Nat",660,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-25 00:00:00,1,"M","Nat",704,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-26 00:00:00,1,"F","Nat",647,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-28 00:00:00,1,"M","Nat",750,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-31 00:00:00,1,"M","Nat",723,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-5-31 00:00:00,1,"F","Nat",686,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-1 00:00:00,1,"F","Nat",743,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-1 00:00:00,1,"F","Nat",743,4,,,,4,,0,"P","Passed above weir","New","1ROP"
"Catherine Creek",2001,2001-6-2 00:00:00,1,"M","Nat",754,4,,,,4,,0,"P","Passed above weir","New","1ROP"
